# shader	register	animated	key_params	notes
# animated values (dist-verified): static = fragment shader consumes no u_time, speed is inert · animatable = u_time consumed but reads as a finished still at speed=0 (texture/gradient genre; freeze-first) · animated = motion is the genre, react default speed > 0
grain-gradient	editorial	animatable	colors(<=7), colorBack, shape(wave|dots|truchet|corners|ripple|blob|sphere), softness, intensity, noise, speed	the house flagship: grainy multi-color gradient in 7 forms; default preset is neon — always recolor
paper-texture	editorial	static	colorFront, colorBack, image?, contrast, roughness, fiber, fiberSize, crumples, crumpleSize, foldCount, folds, fade, drops, seed	paper/cardboard surface from layered noise; works as image filter or standalone texture; seed gives variations
dithering	editorial	animatable	colorBack, colorFront, shape(simplex|warp|dots|wave|ripple|swirl|sphere), type(random|2x2|4x4|8x8), size, speed	2-color ordered/random dithering over 7 pattern sources; the zero-dep default for the dither look
image-dithering	editorial	static	image(required), colorFront, colorBack, colorHighlight, type(random|2x2|4x4|8x8), size, colorSteps, originalColors, inverted	dither an actual image; 2/3-color or multicolor palettes, can sample colors from the image itself
halftone-dots	editorial	static	image(required), colorFront, colorBack, type(classic|gooey|holes|soft), grid(square|hex), size, radius, contrast, originalColors, inverted, grainSize, grainMixer, grainOverlay	halftone-dot image filter (declares u_time but never consumes it — static in practice)
halftone-cmyk	editorial	static	image(required), colorBack, colorC, colorM, colorY, colorK, type(dots|ink|sharp), size, contrast, softness, floodC/M/Y/K, gainC/M/Y/K, gridNoise, grainSize, grainMixer, grainOverlay	classic CMYK print-separation halftone; per-channel flood/gain = real print-shop control
fluted-glass	editorial	static	image(required), shape(lines|linesIrregular|wave|zigzag|pattern), distortionShape(prism|lens|contour|cascade|flat), size, angle, distortion, shift, blur, edges, margin*, stretch, highlights, shadows, grainMixer, grainOverlay	reeded-glass image filter — streaked, ribbed distortion over a photo
static-mesh-gradient	editorial	static	colors(<=10), positions, waveX, waveXShift, waveY, waveYShift, mixing, grainMixer, grainOverlay	multi-point mesh gradient held perfectly still; wallpaper-grade backdrops
static-radial-gradient	editorial	static	colors(<=10), colorBack, radius, focalDistance, focalAngle, falloff, mixing, distortion, distortionShift, distortionFreq, grainMixer, grainOverlay	radial gradient with off-axis focal control + grain; editorial spotlight fields
mesh-gradient	editorial	animatable	colors(<=10), distortion, swirl, grainMixer, grainOverlay, speed	flowing color-spot mesh; at speed=0 an elegant static mesh, animated a slow lava-lamp drift
warp	editorial	animatable	colors(<=10), shape(checks|stripes|edge), shapeScale, proportion, softness, distortion, swirl, swirlIterations, rotation, speed	marbled/smoky color fields warped over base patterns; the fluid-ink look
water	editorial	animatable	image?, colorBack, colorHighlight, highlights, layering, edges, caustic, waves, size, speed	caustic water surface; image filter or standalone texture; speed=0 = frozen glass
waves	editorial	static	colorFront, colorBack, shape, frequency, amplitude, spacing, proportion, softness, rotation	static line pattern from zigzag to smooth waves; print-like divider/section texture
dot-grid	editorial	static	colorBack, colorFill, colorStroke, shape(circle|diamond|square|triangle), size, gapX, gapY, strokeWidth, sizeRange, opacityRange	static dot/diamond/square/triangle grid; blueprint and spec-sheet textures
voronoi	editorial	animatable	colors(<=5), colorGap, colorGlow, stepsPerColor, distortion, gap, glow, speed	anti-aliased voronoi cells with adjustable gaps/glow; stained-glass or cell texture
perlin-noise	editorial	animatable	colorFront, colorBack, proportion, softness, octaveCount, persistence, lacunarity, speed	classic 3D perlin field with full octave control; organic noise texture
simplex-noise	editorial	animatable	colors(<=10), stepsPerColor, softness, speed	multi-color gradient mapped through simplex curves; smooth banded contours
liquid-metal	vivid	animated	image?, shape(none|circle|daisy|diamond|metaballs), colorBack, colorTint, repetition, shiftRed, shiftBlue, contour, softness, distortion, angle, speed	chrome/liquid-metal material on a logo image or preset shape
neuro-noise	vivid	animated	colorFront, colorMid, colorBack, brightness, contrast, speed	glowing web of fluid lines; atmospheric organic-futuristic
god-rays	vivid	animated	colors(<=5), colorBack, colorBloom, spotty, midSize, midIntensity, density, intensity, bloom, speed	light rays from center; logo reveals, energy bursts
metaballs	vivid	animated	colors(<=8), colorBack, count(<=20), size, speed	gooey blobs merging around center
pulsing-border	vivid	animated	colors(<=5), colorBack, roundness, thickness, margin*, aspectRatio(auto|square), softness, intensity, bloom, spots, spotSize, pulse, smoke, smokeSize, speed	glowing gradient frame around content; AI-assistant halo genre
heatmap	vivid	animated	image(required), colors(<=10), colorBack, contour, angle, noise, innerGlow, outerGlow, speed	thermal gradient wave flowing through an input image
color-panels	vivid	animated	colors(<=7), colorBack, length, edges, blur, fadeIn, fadeOut, density, gradient, speed	translucent 3D panels rotating around a central axis
gem-smoke	vivid	animated	image?, shape(none|circle|daisy|diamond|metaballs), colors(<=6), colorBack, colorInner, innerDistortion, outerDistortion, innerGlow, outerGlow, offset, angle, size, speed	color smoke running around a glassy logo shape
spiral	vivid	animated	colorFront, colorBack, density, distortion, strokeWidth, strokeTaper, strokeCap, noise, noiseFrequency, softness, speed	single-color morphing spiral, crisp geometry to whirlpool
swirl	vivid	animated	colors(<=10), colorBack, bandCount, twist, center, proportion, softness, noise, noiseFrequency, speed	twisting color bands; arcs and circular flow
dot-orbit	vivid	animated	colors(<=10), colorBack, size, sizeRange, spreading, stepsPerColor, speed	dots orbiting their cell centers; playful dynamic texture
smoke-ring	vivid	animated	colors(<=10), colorBack, radius, thickness, innerShape, noiseScale, noiseIterations, speed	radial smoke ring shaped by layered noise
