# id	display_face	display_src	body_face	body_src	mono_accent	mono_src	alt_display	mood_tags	register	fallbacks
# src formats: fontsource:@fontsource[-variable]/<pkg> (OFL-1.1[, static]) = npm/self-host/subset OK · fontshare:<slug> (ITF-FFL, download-only) = per-project kit, NEVER vendored/copied/subset. Every fontsource family is also on Google Fonts under the same display name (next/font/google). fallbacks = <display system stack> / <body system stack>. Sample PAIRS: bash scripts/vary.sh vendor/_index/typography.tsv 8 "<register|mood|vertical>" — ship the row, never Frankenstein two rows' display faces. Card: sources/typography.md
fraunces-hanken	Fraunces	fontsource:@fontsource-variable/fraunces (OFL-1.1)	Hanken Grotesk	fontsource:@fontsource-variable/hanken-grotesk (OFL-1.1)	-	-	Recia (fontshare)	warm,wonky,editorial,artisanal,food	warm-editorial-serif	Georgia,'Iowan Old Style',serif / 'Helvetica Neue',Arial,sans-serif
recia-synonym	Recia	fontshare:recia (ITF-FFL, download-only)	Synonym	fontshare:synonym (ITF-FFL, download-only)	-	-	Fraunces (fontsource)	warm,literary,calm,indie-press	warm-editorial-serif	Georgia,serif / 'Helvetica Neue',Arial,sans-serif
young-serif-gantari	Young Serif	fontsource:@fontsource/young-serif (OFL-1.1, static)	Gantari	fontsource:@fontsource-variable/gantari (OFL-1.1)	-	-	Gambetta (fontshare)	retro,cookbook,warm,seventies,cozy	warm-editorial-serif	Georgia,'Book Antiqua',serif / Arial,Helvetica,sans-serif
zodiak-satoshi	Zodiak	fontshare:zodiak (ITF-FFL, download-only)	Satoshi	fontshare:satoshi (ITF-FFL, download-only)	-	-	Libre Caslon Display (fontsource)	magazine,bold,chic,culture	boutique-magazine-serif	Georgia,'Times New Roman',serif / 'Helvetica Neue',Arial,sans-serif
libre-caslon	Libre Caslon Display	fontsource:@fontsource/libre-caslon-display (OFL-1.1, static)	Libre Caslon Text	fontsource:@fontsource/libre-caslon-text (OFL-1.1, static)	-	-	Zodiak (fontshare)	classic,heritage,bookish,editorial	boutique-magazine-serif	'Big Caslon','Book Antiqua',Georgia,serif / Georgia,'Times New Roman',serif
melodrama-supreme	Melodrama	fontshare:melodrama (ITF-FFL, download-only)	Supreme	fontshare:supreme (ITF-FFL, download-only)	-	-	DM Serif Display (fontsource)	quirky,boutique,fashion,expressive	boutique-magazine-serif	Didot,'Bodoni MT',Georgia,serif / 'Helvetica Neue',Arial,sans-serif
boska-general	Boska	fontshare:boska (ITF-FFL, download-only)	General Sans	fontshare:general-sans (ITF-FFL, download-only)	-	-	Cormorant (fontsource)	fashion,sharp,luxury,campaign	high-contrast-fashion-serif	Didot,'Bodoni MT',Georgia,serif / 'Helvetica Neue',Arial,sans-serif
cormorant-sofia	Cormorant	fontsource:@fontsource-variable/cormorant (OFL-1.1)	Sofia Sans	fontsource:@fontsource-variable/sofia-sans (OFL-1.1)	-	-	Boska (fontshare)	elegant,airy,refined,beauty	high-contrast-fashion-serif	Garamond,Georgia,serif / Arial,'Helvetica Neue',sans-serif
playfair-sc-lora	Playfair Display SC	fontsource:@fontsource/playfair-display-sc (OFL-1.1, static)	Lora	fontsource:@fontsource-variable/lora (OFL-1.1)	-	-	Stardom (fontshare)	masthead,smallcaps,classic,editorial	high-contrast-fashion-serif	Didot,Georgia,serif / Georgia,'Times New Roman',serif
erode-switzer	Erode	fontshare:erode (ITF-FFL, download-only)	Switzer	fontshare:switzer (ITF-FFL, download-only)	-	-	Newsreader (fontsource)	inky,literary,contemporary,essay	text-serif-editorial	Georgia,'Times New Roman',serif / 'Helvetica Neue',Arial,sans-serif
literata-opsz	Literata	fontsource:@fontsource-variable/literata (OFL-1.1)	Literata	fontsource:@fontsource-variable/literata (OFL-1.1)	IBM Plex Mono	fontsource:@fontsource/ibm-plex-mono (OFL-1.1, static)	Sentient (fontshare)	longform,bookish,serious,publishing	text-serif-editorial	Georgia,'Times New Roman',serif / Georgia,'Times New Roman',serif
piazzolla-opsz	Piazzolla	fontsource:@fontsource-variable/piazzolla (OFL-1.1)	Piazzolla	fontsource:@fontsource-variable/piazzolla (OFL-1.1)	Spline Sans Mono	fontsource:@fontsource-variable/spline-sans-mono (OFL-1.1)	Erode (fontshare)	longform,warm,latin,journal	text-serif-editorial	Georgia,serif / Georgia,serif
crimson-solo	Crimson Pro	fontsource:@fontsource-variable/crimson-pro (OFL-1.1)	Crimson Pro	fontsource:@fontsource-variable/crimson-pro (OFL-1.1)	-	-	Gambetta (fontshare)	scholarly,quiet,academic,classic	text-serif-editorial	Georgia,'Times New Roman',serif / Georgia,'Times New Roman',serif
brygada-schibsted	Brygada 1918	fontsource:@fontsource-variable/brygada-1918 (OFL-1.1)	Schibsted Grotesk	fontsource:@fontsource-variable/schibsted-grotesk (OFL-1.1)	-	-	Sentient (fontshare)	revival,literary,elegant,polish	text-serif-editorial	Georgia,'Times New Roman',serif / 'Helvetica Neue',Arial,sans-serif
gambetta-author	Gambetta	fontshare:gambetta (ITF-FFL, download-only)	Author	fontshare:author (ITF-FFL, download-only)	-	-	Lora (fontsource)	essay,warm,humanist,journal	warm-essayistic	Georgia,serif / 'Helvetica Neue',Arial,sans-serif
lora-hanken	Lora	fontsource:@fontsource-variable/lora (OFL-1.1)	Hanken Grotesk	fontsource:@fontsource-variable/hanken-grotesk (OFL-1.1)	-	-	Gambetta (fontshare)	blog,warm,friendly,longform	warm-essayistic	Georgia,'Times New Roman',serif / 'Helvetica Neue',Arial,sans-serif
vollkorn-gantari	Vollkorn	fontsource:@fontsource-variable/vollkorn (OFL-1.1)	Gantari	fontsource:@fontsource-variable/gantari (OFL-1.1)	-	-	Recia (fontshare)	cozy,bookish,sturdy,german	warm-essayistic	Georgia,serif / Arial,Helvetica,sans-serif
besley-public	Besley	fontsource:@fontsource-variable/besley (OFL-1.1)	Public Sans	fontsource:@fontsource-variable/public-sans (OFL-1.1)	IBM Plex Mono	fontsource:@fontsource/ibm-plex-mono (OFL-1.1, static)	Zilla Slab (fontsource)	newsprint,sturdy,civic,trustworthy	slab-newsprint	Rockwell,Georgia,serif / 'Segoe UI',Arial,sans-serif
zilla-schibsted	Zilla Slab	fontsource:@fontsource/zilla-slab (OFL-1.1, static)	Schibsted Grotesk	fontsource:@fontsource-variable/schibsted-grotesk (OFL-1.1)	-	-	Bitter (fontsource)	slab,techy,open-source,friendly	slab-newsprint	Rockwell,'Courier New',serif / 'Helvetica Neue',Arial,sans-serif
hepta-archivo	Hepta Slab	fontsource:@fontsource-variable/hepta-slab (OFL-1.1)	Archivo	fontsource:@fontsource-variable/archivo (OFL-1.1)	-	-	Tanker (fontshare)	heavy,poster,newsprint,bold	slab-newsprint	Rockwell,Georgia,serif / Arial,'Helvetica Neue',sans-serif
bitter-manrope	Bitter	fontsource:@fontsource-variable/bitter (OFL-1.1)	Manrope	fontsource:@fontsource-variable/manrope (OFL-1.1)	-	-	Hepta Slab (fontsource)	slab,calm,product,legible	slab-newsprint	Rockwell,Georgia,serif / 'Helvetica Neue',Arial,sans-serif
bricolage-newsreader	Bricolage Grotesque	fontsource:@fontsource-variable/bricolage-grotesque (OFL-1.1)	Newsreader	fontsource:@fontsource-variable/newsreader (OFL-1.1)	-	-	Cabinet Grotesk (fontshare)	characterful,french,editorial,warm	characterful-grotesk-over-serif	'Helvetica Neue',Arial,sans-serif / Georgia,'Times New Roman',serif
cabinet-spectral	Cabinet Grotesk	fontshare:cabinet-grotesk (ITF-FFL, download-only)	Spectral	fontsource:@fontsource/spectral (OFL-1.1, static)	-	-	Bricolage Grotesque (fontsource)	characterful,retro-grotesk,agency,editorial	characterful-grotesk-over-serif	'Helvetica Neue',Arial,sans-serif / Georgia,'Times New Roman',serif
familjen-petrona	Familjen Grotesk	fontsource:@fontsource-variable/familjen-grotesk (OFL-1.1)	Petrona	fontsource:@fontsource-variable/petrona (OFL-1.1)	-	-	General Sans (fontshare)	nordic,friendly,editorial,fresh	characterful-grotesk-over-serif	'Helvetica Neue',Arial,sans-serif / Georgia,serif
clash-archivo	Clash Display	fontshare:clash-display (ITF-FFL, download-only)	Archivo	fontsource:@fontsource-variable/archivo (OFL-1.1)	Space Mono	fontsource:@fontsource/space-mono (OFL-1.1, static)	Space Grotesk (fontsource)	poster,brutalist,loud,tech	grotesk-poster	Futura,'Century Gothic','Helvetica Neue',sans-serif / Arial,'Helvetica Neue',sans-serif
space-grotesk-manrope	Space Grotesk	fontsource:@fontsource-variable/space-grotesk (OFL-1.1)	Manrope	fontsource:@fontsource-variable/manrope (OFL-1.1)	Space Mono	fontsource:@fontsource/space-mono (OFL-1.1, static)	Clash Display (fontshare)	techy,modern,poster,product	grotesk-poster	Futura,'Trebuchet MS',sans-serif / 'Helvetica Neue',Arial,sans-serif
instrument-pair	Instrument Serif	fontsource:@fontsource/instrument-serif (OFL-1.1, static)	Instrument Sans	fontsource:@fontsource-variable/instrument-sans (OFL-1.1)	-	-	Sentient (fontshare)	fresh,designed-together,editorial,product	designed-as-a-pair	Georgia,'Times New Roman',serif / 'Helvetica Neue',Arial,sans-serif
