# source	name	title	description	npm_deps	registry_deps	vendored_file
magicui	magic-card	Magic Card	A spotlight effect that follows your mouse cursor and highlights borders on hover.	motion,next-themes		vendor/magicui/r/magic-card.json
magicui	android	Android	A mockup of an Android device.			vendor/magicui/r/android.json
magicui	warp-background	Warp Background	A card with a time warping background effect.	motion		vendor/magicui/r/warp-background.json
magicui	line-shadow-text	Line Shadow Text	A text component with a moving line shadow.	motion		vendor/magicui/r/line-shadow-text.json
magicui	aurora-text	Aurora Text	A beautiful aurora text effect			vendor/magicui/r/aurora-text.json
magicui	morphing-text	Morphing Text	A dynamic text morphing component for Magic UI.			vendor/magicui/r/morphing-text.json
magicui	scroll-progress	Scroll Progress	Animated Scroll Progress for your pages	motion		vendor/magicui/r/scroll-progress.json
magicui	lens	Lens	A interactive component that enables zooming into images, videos and other elements.	motion		vendor/magicui/r/lens.json
magicui	pointer	Pointer	A component that displays a pointer when hovering over an element	motion		vendor/magicui/r/pointer.json
magicui	smooth-cursor	smooth-cursor	A customizable, physics-based smooth cursor animation component with spring animations and rotation effects	framer-motion		vendor/magicui/r/smooth-cursor.json
magicui	progressive-blur	Progressive Blur	The Progressive Blur component adds a smooth blur gradient effect to scrollable content, indicating more content below or above.			vendor/magicui/r/progressive-blur.json
magicui	neon-gradient-card	Neon Gradient Card	A beautiful neon card effect			vendor/magicui/r/neon-gradient-card.json
magicui	noise-texture	Noise Texture	An SVG fractal noise layer using feTurbulence, desaturation, and contrast controls for subtle texture overlays.			vendor/magicui/r/noise-texture.json
magicui	meteors	Meteors	A meteor shower effect.			vendor/magicui/r/meteors.json
magicui	grid-pattern	Grid Pattern	A background grid pattern made with SVGs, fully customizable using Tailwind CSS.			vendor/magicui/r/grid-pattern.json
magicui	hexagon-pattern	Hexagon Pattern	A background hexagon pattern made with SVGs, fully customizable using Tailwind CSS.			vendor/magicui/r/hexagon-pattern.json
magicui	striped-pattern	Striped Pattern	A background striped pattern made with SVGs, fully customizable using Tailwind CSS.			vendor/magicui/r/striped-pattern.json
magicui	interactive-grid-pattern	Interactive Grid Pattern	A interactive background grid pattern made with SVGs, fully customizable using Tailwind CSS.			vendor/magicui/r/interactive-grid-pattern.json
magicui	dot-pattern	Dot Pattern	A background dot pattern made with SVGs, fully customizable using Tailwind CSS.			vendor/magicui/r/dot-pattern.json
magicui	flickering-grid	Flickering Grid	A flickering grid background made with SVGs, fully customizable using Tailwind CSS.			vendor/magicui/r/flickering-grid.json
magicui	hero-video-dialog	Hero Video Dialog	A hero video dialog component.	motion		vendor/magicui/r/hero-video-dialog.json
magicui	code-comparison	Code Comparison	A component which compares two code snippets.	shiki,next-themes		vendor/magicui/r/code-comparison.json
magicui	marquee	Marquee	An infinite scrolling component that can be used to display text, images, or videos.			vendor/magicui/r/marquee.json
magicui	globe	Globe	An autorotating, interactive, and highly performant globe made using WebGL.	cobe@^0.6.4,motion		vendor/magicui/r/globe.json
magicui	glyph-matrix	Glyph Matrix	An animated grid of subtly shifting glyphs with fade effect and theme support.			vendor/magicui/r/glyph-matrix.json
magicui	glare-hover	Glare Hover	A diagonal glare on hover using a ::before gradient and CSS variables (angle, size, duration, color).			vendor/magicui/r/glare-hover.json
