# preset	class	character	animation	uniform_params	mobile_safe	use_case
uvGradient	media-fx	animated UV-gradient fill masked by element alpha	continuous	-	yes	logo-tint,text-headline-EXPERIMENTAL,brand-moment
rainbow	media-fx	hue-cycling colorize over luminance	continuous	-	yes	logo-tint,playful-accent,text-headline-EXPERIMENTAL
glitch	media-fx	broken-signal glitch: scanline tears + chromatic aberration bursts	continuous	-	caution (up to 9 texture taps in bursts; pixelRatio 1 + <=2 elements on mobile)	hover-glitch,showreel-tile,hero-image,text-headline-EXPERIMENTAL
pixelate	media-fx	mosaic pixelation, block size oscillates with time	continuous	-	yes	retro-reveal,hover-tile
rgbGlitch	media-fx	intermittent RGB channel tear bursts (undocumented upstream)	continuous	-	yes	glitch-accent,music-culture
rgbShift	media-fx	analog scanline RGB channel separation	continuous	-	yes	vhs-footage,retro-media
halftone	media-fx	rotated-grid CMY halftone dots (grid size hardcoded upstream)	static	-	no (15 texture taps/fragment — heaviest preset; desktop pointer:fine, small areas only)	editorial-print,poster-image
sinewave	motion-fx	RGB wave displacement with x-blur	continuous	-	caution (9 texture taps)	liquid-media,underwater
shine	motion-fx	rotating radial light sweep (flattens color to highlight)	continuous	-	yes	logo-shine,badge,text-headline-EXPERIMENTAL
blink	motion-fx	brightness pulse ~0.8Hz (below flash-risk thresholds; still motion)	continuous	-	yes	attention-pulse,terminal-cursor
spring	motion-fx	elastic scale wobble	continuous	-	yes	sticker-pop,playful-logo
duotone	media-fx	two-color gradient map; cycles when speed>0	static-at-speed-0	color1,color2,speed	yes	brand-duotone,scroll-linked-footage,editorial-video
tritone	media-fx	three-color gradient map; cycles when speed>0	static-at-speed-0	color1,color2,color3,speed	yes	brand-tritone,poster-video
hueShift	media-fx	fixed hue rotation by uniform	static	shift	yes	theme-match-media,hover-tint
warpTransition	transition	horizontal scanline warp on viewport enter/leave	enter-leave	enterTime,leaveTime (auto-fed)	yes	scroll-entrance,gallery-swap
slitScanTransition	transition	slit-scan wipe reveal on enter/leave	enter-leave	enterTime,leaveTime (auto-fed)	yes	scroll-entrance,section-reveal
pixelateTransition	transition	mosaic resolve-in on enter/leave	enter-leave	enterTime,leaveTime (auto-fed)	yes	scroll-entrance,retro-reveal
focusTransition	transition	double-image defocus converge on enter	enter-leave	intersection (auto-fed)	yes	scroll-entrance,photo-gallery
invert	media-fx	color inversion (undocumented upstream)	static	-	yes	dark-mode-media,hover-invert
grayscale	media-fx	luminance grayscale (undocumented upstream)	static	-	yes	muted-media,team-photos
vignette	media-fx	edge-darkening vignette (undocumented upstream)	static	intensity,radius,power	yes	photo-frame,cinematic-still
chromatic	media-fx	radial chromatic-aberration lens (undocumented upstream)	static	intensity,radius,power	yes	lens-look,hero-photo
