# origin	format	category	title	description	source_url
recent	tweet	motion	3D Knot	A pastel rainbow-colored 3D knot object continuously rotates and morphs through different configurations in this smooth motion study.	https://x.com/jlongster/status/2083249657329659952
recent	tweet	motion	Pixel Art VFX Sprites	A collection of animated pixel art visual effects including fireballs, magic circles, lightning, and energy auras, each looping through their full animation cycle in a dark grid layout.	https://x.com/nerijs/status/2083265170558579176
recent	tweet	interface	GameCube macOS	A playful concept reimagining macOS window traffic light buttons as GameCube controller inputs, rendered with tactile 3D shading on a purple textured surface.	https://x.com/AndreaCopellino/status/2082934591917080863
recent	tweet	motion	Glitch Fashion	An experimental motion reel applying aggressive glitch effects, silhouetting, and geometric wireframe overlays to street fashion photography with bold vibrant color blocking.	https://x.com/ingi_erlingsson/status/2083329759551918545
recent	tweet	branding	Alpha Trading App	A brand identity and app UI reveal for Alpha, an AI-powered trading assistant featuring a glowing ghost mascot, animated motion film, and dark chat interface with soft purple gradients.	https://x.com/jkane/status/2083188328690553183
recent	tweet	motion	Liquid Glass Waves	A mobile app concept featuring a frosted glass card UI set against mesmerizing animated liquid glass backgrounds that cycle through vibrant neon colors.	https://x.com/proskuaaa/status/2083260471302365520
recent	tweet	motion	Recursive Surface Erosion	A generative 3D particle sphere morphs and erodes recursively, with glowing energy trails tracing through its surface as part of the W.O.R.M. Worlds of Recursive Motion series.	https://x.com/hal_chemy/status/2083003699966689564
recent	tweet	motion	Gradient Motion Study	A glowing abstract animation of blurred gradient beams shifting through blue, orange, and red on a black background.	https://www.instagram.com/p/Dbak9V8iOkk/
recent	tweet	3d	iTunes Icon 3D Redesign	A 3D reimagining of the iTunes icon with a glossy blue music note and iridescent CD disc rendered with rich material detail and chromatic reflections.	https://x.com/prekesh/status/2082831791656755225
recent	tweet	interface	Dark Mode Auth Screens	A set of dark mode authentication screens for OpenCode Console covering login, sign-up, and CLI device authorization, featuring clean form layouts on a pure black background.	https://x.com/ludvigrask_/status/2082836110204629449
recent	tweet	motion	Uploading Button	A dark neumorphic upload button with an animated glowing border that traces around the edges to indicate loading state, crafted as a focused microinteraction study.	https://x.com/tushtisachdeva/status/2082828952150921347
recent	tweet	interface	X Money Transaction Cards	A concept UI for X Money showing dark-themed peer-to-peer payment cards with transaction amounts, verified user names, memos, and timestamps.	https://x.com/benjitaylor/status/2082998429169619378
recent	tweet	motion	AI Task Progress Pills	Animated dark pill components displaying live-updating progress percentages for AI tasks like model training and agent migration, with a vivid chromatic face silhouette as a visual accent.	https://x.com/its_sslvr/status/2082805912524230951
recent	tweet	interface	CO'WATCH Concept	A clock app concept with an analog watch face and theme-switching preferences panel cycling through dark, light, and yellow color modes.	https://x.com/itshassco/status/2077820586013724708
recent	tweet	branding	Logo Explorations	A set of identity explorations and construction sheets for Atem Lab, combining blueprint-style layouts, gothic letterforms, and symbol studies.	https://www.instagram.com/p/DbOX4yxCGlP/
recent	tweet	product	Cash App Transfer	A behind-the-scenes look at custom action card animations and transitions built for Cash App, showing fluid sheet interactions for transfers and account selection.	https://x.com/JustinDanks/status/2082213232521986266
recent	tweet	motion	Time	A dense grid of circular clock faces animates in a rippling wave pattern, with each hand rotating to create a mesmerizing collective time visualization.	https://x.com/ALCrego_/status/2070728384582152537
recent	tweet	motion	AI Image Generation Reveal	A loading and reveal animation for AI image generation featuring a shimmering grayscale tile placeholder that resolves into the final image, shown in light and dark modes.	https://x.com/dqnamo/status/2082481271671078928
recent	tweet	branding	Ghost App Icon Concepts	Two app icon concepts featuring a playful ghost mascot, one in bright blue with a soft glow and one dark with a vibrant gradient fill.	https://x.com/dmiiiitrii/status/2082411261166231884
recent	tweet	web	QED Website Footer	A website footer design for QED Labs featuring a seamless pen-and-ink mountain illustration that spans the full width, paired with a minimal off-white layout and structured navigation columns.	https://x.com/alimdesigner_/status/2082722865686712750
recent	tweet	illustration	Apple Logo Doodles	A series of vibrant illustrated Apple logo doodles created for Apple events, featuring playful characters, animals, and scenes packed inside the iconic apple silhouette.	https://x.com/avstorm/status/2082726291820707943
recent	tweet	motion	Elsewhere Together	An experimental motion piece featuring glowing figure silhouettes animating through dynamic poses against a heavily glitched, pixelated blue and red datamosh background.	https://x.com/cemhah/status/2082460697972109392
recent	tweet	print	Restaurant Menu Designs	A collection of editorial restaurant menu designs featuring cobalt blue hand-painted illustrations, seafood photography, and elegant mixed typography on light cream backgrounds.	https://x.com/gizakdag/status/2082418736800088180
recent	tweet	motion	Particle Figure Descent	A monochrome motion study featuring a glowing human silhouette moving through a dynamic particle field, with a luminous trail and swirling texture giving the piece a meditative, otherworldly quality.	https://x.com/ALCrego_/status/2082487660027736434
recent	tweet	interface	Drawesome	A React drawing toolbar component with smooth tool switching, a full color palette, size and opacity sliders, and zero dependencies, shown in a clean minimal demo.	https://x.com/benjitaylor/status/2082539313796182268
recent	tweet	web	Mason Personal Site	A minimal personal site by designer Mason featuring a now/next/past work list and an outdoor photography gallery with a clever ON-LINE/OFF-LINE dark mode toggle.	https://x.com/madebymbw/status/2080078485759152276
recent	tweet	interface	Tailwind Smooth Shadows Plugin	A Tailwind CSS plugin builder with an interactive preview tool for generating smooth, layered box shadows with optional colored rings and configurable sizes.	https://x.com/flornkm/status/2082492343635312677
recent	tweet	motion	Loaded Dice Grid	A hypnotic generative animation of synchronized dice arranged in a dense monochrome grid with a pulsing wave of motion.	https://www.instagram.com/p/Da2zkHPhbya/
recent	tweet	print	Quartr x Meta Earnings Posters	A set of experimental editorial posters for a Quartr and Meta earnings call, each applying a distinct graphic treatment to a portrait using glitch, halftone, pixelation, and geometric motifs in.	https://x.com/haris_chc/status/2082562040485314722
recent	tweet	motion	404 Chicken Flock Animation	A playful motion piece spelling out 404 using a flock of animated chickens that shuffle and move to maintain the numeral shapes across the loop.	https://x.com/AnaArsonist/status/2082519448154522077
recent	tweet	product	Journal App	A mobile journaling app featuring animated 3D organic flower creatures that bloom as you log reflections, with a collectible insights garden and a playful microphone-powered seed-blowing interaction.	https://x.com/hours/status/2082482503961686075
recent	tweet	web	Offline Website Footer	An animated website footer for 'offline' featuring a 3D retro Mac on a hill with a background that transitions from day to night as the screen powers down.	https://x.com/alimdesigner_/status/2082449286642737341
recent	tweet	illustration	Lovable Artifacts	A set of dark-themed product marketing illustrations featuring an integrations grid, a wireframe globe, and compliance certification badges with a moody blue-gradient aesthetic.	https://x.com/jamesm/status/2082434935521255917
recent	tweet	illustration	Poolside App Icons	A pair of 3D-rendered app icons for Poolside's desktop assistant and agent CLI, featuring a beach umbrella symbol in glowing purple and neon orange colorways.	https://x.com/prekesh/status/2082162185338286331
recent	tweet	branding	App Icon Collection	A portfolio showcase of twelve iOS-style app icons by Katya, ranging from playful mascot characters to minimal and illustrative mark designs across diverse color palettes.	https://x.com/ktnr23/status/2082165211323077078
recent	tweet	product	Border Beam Effect	A native mobile component library bringing animated border beam effects to Swift and React Native, featuring five types including rotate, pulse, line, and button variants with dynamic color support.	https://x.com/Jakubantalik/status/2082141784113557790
recent	tweet	branding	Logo Design Process	A logo concept is shown from early sketches through final applications on stationery and signage mockups.	https://www.instagram.com/reel/DaCsBdwsyF1/
recent	tweet	motion	Liquid Glass Design System	An inside look at Apple's Liquid Glass material design system, showing translucent UI components that bend light and elastically shapeshift to make interfaces feel fluid and organic.	https://x.com/chan_k/status/1932185261162766459
recent	tweet	interface	App Store Screenshots	A collection of four expressive mobile app store screenshots showcasing bold typographic hero screens for music, investing, social, and mashup apps with vibrant 3D and illustrative styles.	https://x.com/mamkindesigner/status/2081671780373000375
recent	tweet	branding	AI Branding Concepts	A set of AI-generated logo and wordmark concepts including abstract marks, bold typographic lockups, and a collaborative ping-pong paddle identity combining two brand marks.	https://x.com/yoffdog0/status/2081836821797851399
recent	tweet	motion	Dial Up Face Assembly	An experimental motion piece visualizing AI face detection as a node-based compositing system, assembling and glitching facial features across vibrant Y2K fashion portraits.	https://x.com/ingi_erlingsson/status/2081896962836541731
recent	tweet	web	Vercel Open Source Page	A dark minimal website section showcasing Vercel's open source software investments, featuring an animated horizontal scroll of project logos including Next.js, Svelte, and Turbo.	https://x.com/rauchg/status/2081571905157714199
recent	tweet	web	Wireframe Studio About Page	A portfolio about page for an independent UK design studio featuring a playful animated collage of personal photos and project work that assembles dynamically on scroll.	https://x.com/jamesm/status/2081742054254907823
recent	tweet	print	Feel The Funk	A bold screenprinted poster with abstract figures, striped forms, and retro disco typography.	https://www.instagram.com/p/DbGRfEDC2Fs/
recent	tweet	motion	Micro II Controller	An illustrated and animated Framer concept of the Micro II controller, showcasing a dark macro-pad device with a cycling RGB glow border across multiple color variants.	https://x.com/mrblackstudio/status/2081706778132087246
recent	tweet	print	Shades Series Posters	A three-part editorial poster series using oversized eyeglass frames as a compositional device, blending bold halftone type, graffiti lettering, and streetwear photography.	https://x.com/adio_dsgn/status/2081092090365202500
recent	tweet	print	Stamp Owl Series	A stamp-inspired graphic series combining bold owl icons, Japanese lettering, and oversized typography in a retro poster style.	https://www.instagram.com/p/DbGZ0cIiISI/
recent	tweet	print	Domus Cover	A vivid Domus magazine cover with oversized type and glossy stacked 3D forms that create a bold editorial composition.	https://www.instagram.com/p/Da2FcrLMsdh/
recent	tweet	interface	Fasting App UI	A concept iOS fasting tracker app with adaptive sky-gradient backgrounds, a bold timer display, time-scrubber bar, and fasting mode presets including sunrise to sunset and overnight schedules.	https://x.com/CristianRus4/status/2081354194842497167
recent	tweet	motion	Tornado Text Reveal	A kinetic typography experiment where scattered letters swirl into a tornado vortex before settling into readable paragraph text on a clean white background.	https://x.com/ozzyxs1a/status/2081519843161829644
recent	tweet	print	SBMR Zine Pieces	A series of experimental zine-style print pieces by SBMR mixing halftone illustrations, handwritten poetry, playful icons, and collage layouts across a cobalt blue backdrop.	https://x.com/sobamaru0815/status/2081333623492637157
recent	tweet	print	Astro Black Book	A striking limited-edition book design that pairs archival NASA imagery with bold monochrome typography and a refined black presentation system.	https://www.instagram.com/p/DaVIQrhHMJT/
recent	tweet	print	SBMR Zine & Sticker Set	A playful set of printed zine cards and sticker sheets featuring hand-drawn characters, rainbow gradients, and whimsical typography under the SBMR identity.	https://x.com/sobamaru0815/status/2081326032041492838
recent	tweet	web	KEI Design Studio	A minimal bilingual design studio website for KEI inc featuring an editorial Source section, project showcases with photography, and a clean typographic identity.	https://x.com/kUtsunomiya/status/2079178998098338103
recent	tweet	web	SOIS 2026	A clean case study website for SOIS 2026, a personal project combining generative art, a 3D-printed wall canvas device, and a companion mobile app for controlling live visual variations.	https://x.com/glauberxyz/status/2081413619821277279
recent	tweet	web	Five Into One	A dynamic image-based opening sequence motion demo where five photo cards burst from a single point and coalesce into a cinematic full-bleed composition.	https://x.com/__o_state/status/2081337425176166805
recent	tweet	print	Analog & Digital Collages	A mixed portfolio of analog collages and unused digital works by Oliver Hamrin, blending torn-paper surrealism, editorial typography, and bold graphic poster design.	https://x.com/oliverhamrin/status/2081048708980912366
recent	tweet	interface	Observatory Thought Specimen	A playful interactive UI specimen featuring an animated square character and bold typographic layout, with controls to switch polarity between light and vivid blue modes.	https://x.com/KushnirUI/status/2081272391817134332
recent	tweet	web	Framer Template Suite	A minimal Framer template suite presented through looping mockups and bold editorial screens for creative portfolios.	https://www.instagram.com/p/DU_fwDHjJQp/
recent	tweet	3d	Glassy Tunnel Forms	Glossy abstract 3D tunnel studies with soft blue, purple, and white lighting, paired with behind-the-scenes Cinema 4D setup frames.	https://www.instagram.com/p/DOr1ecojtXd/
recent	tweet	print	Tour Merch Graphics	Distressed black and white tour merch mockups and print sheets for The Weeknd’s 2025 stadium run, with bold logo placements and layered graphic treatments.	https://www.instagram.com/p/Da_b7vIiBoi/
recent	tweet	motion	Pinchable Fabric Sheet	An interactive browser demo where a black cloth printed with 'Darkroom Engineering' in red deforms and crumples in real time using physics-based pinch and drag gestures.	https://x.com/FerminFerb/status/2080682878958965121
recent	tweet	motion	Cookie Banner Destruction	A playful motion experiment where dismissing a cookie consent banner triggers a satisfying physics-based shattering and disintegration animation rather than a simple close.	https://x.com/ggsimm/status/2079224089999298912
recent	tweet	motion	Bookmark Button	A bookmark button microinteraction where clicking triggers a playful 3D file-box animation before resolving to a filled blue icon with an incremented count.	https://x.com/turaluix/status/2080720630534865182
recent	tweet	motion	Gatekeeper Letter Reveal	Trinita Studio's gated access screen features a minimal password entry UI where circular letter tiles animate in sequence as each character is typed, spelling out words on a clean white canvas.	https://x.com/hours/status/2079600012934414514
recent	tweet	print	Keep Going Poster	Bold hand-painted lettering on a textured blue ground delivers a gritty motivational poster with an expressive, spray-painted feel.	https://www.instagram.com/p/DbA7-5CFGeb/
recent	tweet	3d	Balenciaga Snake Gift	A retro handheld game concept turns Balenciaga gifting into a Snake-style Chinese New Year celebration with pixel screens and 3D product renders.	https://www.instagram.com/p/DbGVwnoFF7_/
recent	tweet	interface	Liquid Glass Terminal	A glassmorphism-styled terminal window on Arch Linux featuring frosted semi-transparent panels over a cherry blossom wallpaper, showing neofetch system info with a dreamy aesthetic.	https://x.com/iyoushetwt/status/2080293346745176270
recent	tweet	motion	Interface Craft Gift	Interface Craft's gift membership experience features an animated red envelope and personalized letter card that unfolds to let recipients claim their membership.	https://x.com/joshpuckett/status/2080412660152332693
recent	tweet	print	Postage Stamp Designs	A pair of postage stamp designs in pale blue and yellow colorways, featuring bold typographic layouts, moon phase imagery, and classic perforated edges on a black background.	https://x.com/AarzooAly/status/2080318642974253113
recent	tweet	product	Frig App Icon	A playful 3D app icon for Frig, a shopping list app, featuring a smiling fridge character with pastel sticky notes on a dark background.	https://x.com/ktnr23/status/2080265315552743500
recent	tweet	web	Vercel Open Source Hero	A new open source page hero for Vercel where colorful framework and tool stickers animate into the hero card, adding a playful touch to the otherwise minimal layout.	https://x.com/logan_liffick/status/2080357579436298645
recent	tweet	motion	Paper Series A	A kinetic motion graphic announcing Paper's $34M Series A, cycling through light and dark typographic compositions layered with halftone textures and investor branding.	https://x.com/stephenhaney/status/2080322390878486903
recent	tweet	interface	OTP Input Component	A polished six-digit OTP input UI component showcasing multiple states including typing, error with a red strikethrough digit, and a smooth animated green border on success.	https://x.com/SwamiMalode/status/2080324666032636260
recent	tweet	3d	3D Can	An interactive 3D beverage can built with three.js for Iskra Graphics, wrapped in vibrant sticker-style branding and rotating in a dark, bubble-filled environment.	https://x.com/world_is_web/status/2080307070897619296
recent	tweet	motion	Interactive Character Motion	A Rive-powered interactive character experiment where an illustrated cartoon avatar with curly hair and glasses tracks and reacts to cursor movement in real time.	https://x.com/AliNazari_me/status/2080291324176028050
recent	tweet	motion	Liquid Clock Animation	A set of animated clock numeral presets rendered with a fluid liquid-gel material effect, exploring different color variants including icy blue, purple, red and hot pink on a dark background.	https://x.com/Nomandsign/status/2079993753562222998
recent	tweet	interface	Dream Journal App	A dark-mode iOS dream journaling app concept featuring a delicate microinteraction where a glowing orb floats up and lands in the journal book each time a dream is added.	https://x.com/dennush/status/2080222055601983790
recent	tweet	motion	Inflatable Button	A playful button microinteraction where clicking and holding inflates the button like a balloon until it bursts into particles, part of a creative button abuse series.	https://x.com/ggsimm/status/2079924908973310080
recent	tweet	motion	Asset Toggle Component	A minimal UI toggle component that switches between crypto assets like Solana and Bitcoin, featuring smooth animated state transitions and icon swaps across light surface variants.	https://x.com/shedsgns/status/2080212446963253745
recent	tweet	motion	AI Task App Input Transitions	A smooth mobile UI concept showing animated transitions between a command input state and a typed query state in an AI-powered task and chat app.	https://x.com/ZaydenSaaSgtfs/status/2079507994124108250
recent	tweet	interface	Atlas for Mac App	Atlas is a macOS app for organizing and quickly accessing logos and brand icons across collections, with drag-to-Figma support and instant SVG search.	https://x.com/sekachov/status/2079620407876030549
recent	tweet	motion	Rotating Torus Loop	A hypnotic geometric motion study by beesandbombs featuring a white wireframe torus form spinning continuously against a black background.	https://x.com/beesandbombs/status/2079236417121619973
recent	tweet	motion	Infinite Rolling Paper Strip	A Three.js interactive where a 3D tape roll physically unspools an endless paper strip printed with portfolio images, steerable by mouse on a minimal white canvas.	https://x.com/thebuggeddev/status/2079770608494424425
recent	tweet	branding	AI Tech Brand Badges	A series of black-and-white graphic identity badges for AI tools like Runway, Claude, and Midjourney, rendered in a retro terminal aesthetic with monospaced type and geometric icons.	https://x.com/mrblackstudio/status/2079508882687152481
recent	tweet	web	Portfolio Website WIP	An experimental portfolio website for Ben Paine's creative development and design practice, featuring collaged imagery, 3D wireframe panels, and minimal monospace typography.	https://x.com/bnpne_/status/2079345706750664972
recent	tweet	web	JB Eudeline Portfolio	A clean, minimal personal portfolio site for design engineer JB Eudeline, featuring a bio, selected work thumbnails, and a professional timeline.	https://x.com/jbedln/status/2079144999187574942
recent	tweet	motion	World Cup Final	A cinematic 3D football momentum visualization tracks Spain and Argentina through the match with shifting red and blue surfaces, live score updates, and match events.	https://www.instagram.com/reel/Da_hW8XvYBS/
recent	tweet	interface	AI Thinking Panel Reveal	A clean expand interaction for an AI thinking panel that animates open to reveal model comparison details including context, reasoning stages, and completion time.	https://x.com/shedsgns/status/2079162374712365254
